id	username	screenname	lastname	firstname	party	country	membership
609972369	UllmannMdB	Andrew Ullmann	Ullmann	Andrew	FDP	DE	MdB
935456332655874048	G_UllrichFDP	Gerald Ullrich MdB	Ullrich	Gerald	FDP	DE	MdB
15630931	johannesvogel	Johannes Vogel	Vogel	Johannes	FDP	DE	MdB
858362895075340288	sandra_weeser	Sandra Weeser	Weeser	Sandra	FDP	DE	MdB
958634602905718785	k_willkomm	Katharina Willkomm	Willkomm	Katharina	FDP	DE	MdB
282195399	badulrichmartha	Lisa Badum	Badum	Lisa	Grüne	DE	MdB
2179010672	ABaerbock	Annalena Baerbock	Baerbock	Annalena	Grüne	DE	MdB
480623844	MargareteBause	Margarete Bause	Bause	Margarete	Grüne	DE	MdB
808400627084705792	DerDanyal	Danyal Bayaz	Bayaz	Danyal	Grüne	DE	MdB
587862375	LieblingXhain	Canan Bayram	Bayram	Canan	Grüne	DE	MdB
32323724	fbrantner	Franziska Brantner	Brantner	Franziska	Grüne	DE	MdB
172269309	agnieszka_mdb	Agnieszka Brugger	Brugger	Agnieszka	Grüne	DE	MdB
1617177360	annachristmann	Anna Christmann	Christmann	Anna	Grüne	DE	MdB
22125770	ekindeligoez	Ekin Deligöz	Deligöz	Ekin	Grüne	DE	MdB
19738866	katjadoerner	Katja Dörner	Dörner	Katja	Grüne	DE	MdB
15722010	katdro	Katharina Dröge	Dröge	Katharina	Grüne	DE	MdB
52431948	ebner_sha	Harald Ebner	Ebner	Harald	Grüne	DE	MdB
727782559	MatthiasGastel	Matthias Gastel	Gastel	Matthias	Grüne	DE	MdB
110368456	KaiGehring	Kai Gehring	Gehring	Kai	Grüne	DE	MdB
426582569	StefanGelbhaar	Stefan Gelbhaar	Gelbhaar	Stefan	Grüne	DE	MdB
626287930	GoeringEckardt	Katrin Göring-Eckardt	Göring-Eckardt	Katrin	Grüne	DE	MdB
951773879822880768	Erhard_Grundl	Erhard Grundl	Grundl	Erhard	Grüne	DE	MdB
4724923756	HajdukBundestag	Anja Hajduk	Hajduk	Anja	Grüne	DE	MdB
1131092102	BriHasselmann	Britta Haßelmann	Haßelmann	Britta	Grüne	DE	MdB
971040144420720641	bhoffmann_mdb	Bettina Hoffmann	Hoffmann	Bettina	Grüne	DE	MdB
442678902	ToniHofreiter	Anton Hofreiter	Hofreiter	Anton	Grüne	DE	MdB
52024480	Djanecek	Dieter Janecek	Janecek	Dieter	Grüne	DE	MdB
955357684013953025	KirstenKappert	Kirsten Kappert-Gonther	Kappert-Gonther	Kirsten	Grüne	DE	MdB
46480553	Uwekekeritz	Uwe Kekeritz	Kekeritz	Uwe	Grüne	DE	MdB
959105406416162823	KatjaKeul	Katja Keul	Keul	Katja	Grüne	DE	MdB
17343047	sven_kindler	Sven Kindler	Kindler	Sven-Christian	Grüne	DE	MdB
