	tweet_id	text	user_id	created_at	party	valence
610375	388033016951734272	Etwas Romantik im Urlaub ? Mit zwei Zügen und einem Schienenersatzverkehr-Bus in 2 Stunden 15 Minuten von Kiel nach Lübeck - #echternorden	46498076	2013-10-09 20:07:35	SPD	-0.3
611272	1193646727376654338	@sozialromantik Nee: https://t.co/SHc76w7De8	15630931	2019-11-10 21:48:51	FDP	-0.3
615944	1114453416108089345	@romantikkiez @HeimatNeue @GSchleife @Kiez_Web_Team @BinBerlinerIn @pip_news Ah, jetzt verstehe ich. Sie sind AfD. Die Menschen im Romantik-Kiez sind lässig und weltoffen und engagiert gegen Rechtsextremus. Sie vertreten mit diesem twitter-Account das Gegenteil.	35846585	2019-04-06 09:02:54	SPD	1.51
615947	1114149265419505664	@romantikkiez @HeimatNeue @GSchleife @Kiez_Web_Team @BinBerlinerIn @pip_news Sind Sie von allen guten Geistern verlassen?!?! Ich habe 12 Jahre im Romantik-Kiez gewohnt und dachte, hinter diesem twitter-Account stecken engagierte, kluge, sympathische Menschen. Fehlanzeige. Traurig. Bin fassungslos und wütend.	35846585	2019-04-05 12:54:19	SPD	-0.41
641157	1176749634540249089	@dirkfisser Die alte Methode. Wer ihrem Interesse nicht folgt, wird erst mal angegriffen und zum Romantiker, Naivling etc deklariert. Damit darüber geredet wird und nicht über #Gemeinwohl. #Wald	1425265488	2019-09-25 06:45:50	Grüne	0.78
652859	1103975313707540481	"Beim Umgang mit Wölfen verlangt Gitta Connemann ""Realismus statt Wolfsromantik"". Die Sicherheit von Menschen habe oberste Priorität. https://t.co/EyRzZhw8Mq"	16361044	2019-03-08 11:06:40	CDU	-0.3
655951	1058425047407357952	Kandidatenrunde für das EP im Bergischen Land, mit https://t.co/I3rmTsSGf3 @ Romantik Hotel Gravenberg https://t.co/GzBURyPU7i	37105136	2018-11-02 18:26:10	CDU	1.03
658362	878170519102668800	@sozialromantik die @spdbt könnte auch einfach zustimmen	600984834	2017-06-23 08:39:02	LINKE	0.47
662573	1137302414707572736	Auf den Punkt gebracht! Und wenn man regiert, will man von der eigenen Wohlfühlromantik nichts mehr wissen. Siehe Hambacher Forst! #Gruene https://t.co/iaZZauwLWm	2226815116	2019-06-08 10:16:40	SPD	-0.3
670214	937651209745387521	Seehofer und Söder - dagegen sind grüne Doppelspitzen ja pure Romantik	110368456	2017-12-04 11:54:03	Grüne	-0.3
677128	854829400310861825	@sozialromantik Ich kenne fast alle gezeigten Politiker*innen persönlich und fand sie seriös wieder gegeben. Ein kluger Blick auf individuelle Reaktionen.	1421571306	2017-04-19 22:49:45	LINKE	-0.3
677129	854825867498975236	@sozialromantik Das kann man so sehen. Ich sehe es anders. Das waren authentische, exemplarische, unverfälschte Beispiele für Reaktionen zur aktuellen Lage	1421571306	2017-04-19 22:35:43	LINKE	-0.3
677130	854823048721117184	"@sozialromantik Nein aber du stellst solche Fragen. Mich interessiert auch nicht wie du zu dem Urteil ""oberflächlich"" kommst. Ich sehe das anders und Ende."	1421571306	2017-04-19 22:24:31	LINKE	-0.3
677131	854822242269712384	@sozialromantik Bist du irgendeine Zensurbehörde oder so was?	1421571306	2017-04-19 22:21:19	LINKE	-0.3
677132	854821752865685504	@sozialromantik Ich muss mich doch deinem Urteil nicht zwingend anschließen. Oder habe ich irgend etwas verpasst?	1421571306	2017-04-19 22:19:22	LINKE	-0.3
696364	948159253474398208	Mit der Integrationsromantik muss Schluss sein! Unser Land, unsere Kultur, unsere Regeln. Wenn alle anderen versagen, hilft nur noch @AfD! ➡️https://t.co/YVrSJp0ypV https://t.co/roKDzseB45	916639458409242624	2018-01-02 11:49:16	AfD	-0.3
